티커,2023-05-31,2023-06-01,2023-06-02,2023-06-05,2023-06-07,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-19,2023-06-20,2023-06-21
060310,3020.0,2900.0,2875.0,2935.0,2890.0,2960.0,2965.0,3075.0,3040.0,3000.0,3025.0,2960.0,3070.0,3005.0,2985.0
095570,4255.0,4300.0,4425.0,4440.0,4390.0,4380.0,4415.0,4380.0,4390.0,4405.0,4415.0,4680.0,4630.0,4545.0,4550.0
006840,18830.0,18670.0,18920.0,19080.0,19000.0,18810.0,18740.0,18230.0,18290.0,19170.0,18870.0,19590.0,19800.0,19680.0,19110.0
054620,11160.0,11100.0,10980.0,10760.0,11100.0,10740.0,11050.0,10980.0,10870.0,10690.0,10720.0,10520.0,10390.0,10230.0,10040.0
265520,21350.0,21550.0,21600.0,21250.0,21350.0,21400.0,21550.0,21350.0,21750.0,21500.0,21800.0,21750.0,21500.0,21450.0,21400.0
211270,14500.0,14290.0,14470.0,14700.0,14510.0,14090.0,14260.0,14340.0,14250.0,13700.0,14000.0,14110.0,14300.0,14050.0,13800.0
027410,4105.0,4080.0,4100.0,4110.0,4095.0,4125.0,4140.0,4115.0,4090.0,4090.0,4080.0,4030.0,3975.0,3970.0,3925.0
282330,190400.0,184400.0,184700.0,184900.0,186600.0,183500.0,186100.0,186800.0,185700.0,188800.0,190400.0,193900.0,185700.0,187000.0,183900.0
126600,7370.0,7310.0,7300.0,7330.0,7060.0,6910.0,6890.0,6500.0,6350.0,6170.0,6210.0,6210.0,6310.0,6150.0,6150.0
138930,6710.0,6720.0,6780.0,6840.0,6850.0,6940.0,7010.0,6930.0,6920.0,6840.0,6850.0,6910.0,6910.0,6910.0,6890.0
001460,419500.0,420000.0,420000.0,420000.0,417000.0,418000.0,416500.0,420000.0,423500.0,420000.0,417500.0,418000.0,418500.0,418000.0,413000.0
001465,149600.0,149300.0,149900.0,150900.0,150700.0,150000.0,150000.0,149500.0,151700.0,148600.0,148000.0,148000.0,147200.0,147900.0,147600.0
013720,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,3065.0,2780.0,2735.0,2585.0
001040,88600.0,86300.0,87700.0,86700.0,85800.0,85700.0,84700.0,84100.0,83800.0,82400.0,80000.0,80500.0,79600.0,78100.0,74200.0
079160,15600.0,16150.0,16160.0,15520.0,15380.0,15000.0,15200.0,15110.0,15020.0,15030.0,14560.0,14380.0,14140.0,14500.0,11440.0
035760,76000.0,76100.0,75900.0,76300.0,78200.0,77300.0,77500.0,78100.0,76400.0,74500.0,73800.0,73400.0,72300.0,72700.0,68700.0
311690,26350.0,26150.0,26200.0,26800.0,26650.0,26200.0,26400.0,26300.0,26100.0,25700.0,25300.0,25500.0,24400.0,24100.0,23650.0
00104K,71200.0,70300.0,71000.0,71000.0,70700.0,71000.0,70900.0,70200.0,69700.0,69600.0,68800.0,68900.0,67700.0,67700.0,64800.0
000120,81500.0,81400.0,80900.0,81400.0,81700.0,83000.0,81400.0,81400.0,81100.0,80600.0,79900.0,80700.0,79300.0,78300.0,77600.0
011150,3340.0,3360.0,3385.0,3420.0,3785.0,3740.0,3705.0,3705.0,3975.0,4125.0,3980.0,3875.0,3870.0,3725.0,3680.0
011155,24950.0,25300.0,25200.0,25350.0,25900.0,25250.0,25300.0,26000.0,26200.0,26300.0,25650.0,25900.0,25650.0,25350.0,25050.0
001045,50500.0,50300.0,50200.0,50200.0,50100.0,50300.0,50200.0,50300.0,50200.0,49900.0,49550.0,49600.0,49400.0,49050.0,47650.0
097950,310000.0,315500.0,320500.0,325500.0,324000.0,324000.0,321500.0,323000.0,318500.0,315000.0,314000.0,314500.0,303500.0,292000.0,276500.0
097955,148200.0,148400.0,150000.0,150500.0,150000.0,150000.0,151100.0,150000.0,148700.0,147900.0,148600.0,149000.0,147500.0,145300.0,140100.0
051500,28050.0,28450.0,29100.0,29250.0,29350.0,29200.0,29800.0,29800.0,29750.0,30000.0,29850.0,29900.0,29900.0,29500.0,29000.0
058820,2325.0,2335.0,2310.0,2320.0,2280.0,2230.0,2235.0,2225.0,2195.0,2130.0,2130.0,2125.0,2150.0,2155.0,2135.0
023460,2215.0,2135.0,2125.0,2115.0,2100.0,2100.0,2130.0,2100.0,2100.0,2110.0,2100.0,2100.0,2120.0,2125.0,2100.0
056730,1617.0,1600.0,1600.0,1591.0,1630.0,1614.0,1607.0,1589.0,1609.0,1586.0,1546.0,1595.0,1568.0,1477.0,1462.0
065770,1590.0,1618.0,1603.0,1609.0,1586.0,1585.0,1587.0,1593.0,1596.0,1594.0,1592.0,1582.0,1605.0,1601.0,1576.0
083660,1733.0,1721.0,1721.0,1658.0,1579.0,1579.0,1476.0,1480.0,1539.0,1466.0,1502.0,1551.0,1598.0,1600.0,1515.0
000590,61700.0,61400.0,61300.0,61300.0,61600.0,61300.0,60700.0,60500.0,60800.0,60400.0,60100.0,60200.0,59800.0,59400.0,61500.0
012030,1758.0,1748.0,2270.0,2100.0,2135.0,2095.0,2210.0,2135.0,2300.0,2240.0,2325.0,2305.0,2235.0,2395.0,2290.0
404950,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0
367340,2050.0,2060.0,2055.0,2050.0,2050.0,2060.0,2060.0,2055.0,2050.0,2055.0,2060.0,2050.0,2050.0,2060.0,2065.0
367360,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0
016610,4180.0,4170.0,4235.0,4270.0,4260.0,4270.0,4280.0,4245.0,4245.0,4240.0,4150.0,4150.0,4160.0,4150.0,4140.0
005830,74000.0,75600.0,77800.0,78800.0,78200.0,80000.0,78900.0,78600.0,76400.0,76800.0,76000.0,75900.0,76000.0,74500.0,76400.0
000990,60400.0,60700.0,63300.0,61900.0,61500.0,61900.0,63500.0,61900.0,63100.0,61900.0,64200.0,64200.0,64900.0,67200.0,63800.0
000995,75000.0,77000.0,76900.0,74300.0,73000.0,67500.0,68600.0,65700.0,65900.0,65300.0,65400.0,65300.0,63100.0,59900.0,62600.0
139130,7010.0,7010.0,7060.0,7150.0,7120.0,7220.0,7240.0,7210.0,7250.0,7200.0,7170.0,7200.0,7200.0,7220.0,7180.0
060900,502.0,6430.0,6790.0,7020.0,7340.0,6910.0,7180.0,7760.0,7500.0,7600.0,6630.0,6970.0,6830.0,6380.0,6050.0
025440,2730.0,2910.0,2900.0,2930.0,3025.0,2945.0,2955.0,3150.0,3150.0,3300.0,3245.0,3210.0,3095.0,3040.0,3030.0
001530,20900.0,20500.0,21100.0,21400.0,21350.0,21050.0,21300.0,22350.0,23150.0,21900.0,22650.0,22250.0,22850.0,22900.0,22250.0
000210,45750.0,45950.0,46400.0,47350.0,47400.0,47100.0,47750.0,47300.0,47050.0,46700.0,44900.0,44950.0,45300.0,45700.0,44550.0
001880,13660.0,13920.0,13850.0,13880.0,13850.0,13920.0,13920.0,13780.0,13760.0,13630.0,13560.0,13630.0,13900.0,14080.0,13750.0
000215,28050.0,28200.0,28250.0,28550.0,28550.0,28000.0,28150.0,28000.0,28200.0,27950.0,27750.0,27850.0,27100.0,27350.0,26950.0
375500,36300.0,36150.0,36750.0,37000.0,37200.0,37300.0,37200.0,37250.0,37000.0,36850.0,36350.0,37800.0,37450.0,36950.0,36750.0
37550L,25950.0,25850.0,26250.0,26250.0,26300.0,26250.0,26300.0,26200.0,26200.0,25950.0,25800.0,26450.0,26300.0,26150.0,25900.0
37550K,21200.0,21150.0,21350.0,21450.0,21250.0,21200.0,21100.0,21000.0,21000.0,21000.0,20800.0,21050.0,21050.0,20950.0,20850.0
068790,6180.0,6140.0,6080.0,6110.0,6110.0,6040.0,6060.0,6100.0,6440.0,6320.0,6310.0,6360.0,6360.0,6450.0,6480.0
007340,80300.0,80900.0,81000.0,81800.0,82400.0,81400.0,82500.0,82200.0,83100.0,83300.0,80800.0,83400.0,84200.0,84500.0,83500.0
